S/No,_Improves_Understanding,_Understand_Better,_Perform_Better_Difficulties,_Improved_Performance,_More_Interesting,_More_Engaged,_Increase_Motivation,_Better_Problem_Solving,_Retain_ Information_Better,_Improved_Collaboration,_Perform_Better_Assessments,_Encourage_Critical_Thinking,_Increase_Participation,_More_Confident,_Accomodates_Styles,_Stronger_ communication,_Reduction _Behavioural_issues,_Student_Satisfaction,_Positive_Impact_Overall
17,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
18,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
19,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agee,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
20,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
21,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral
22,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
23,Neutral,Agree,Agree,Neutral,S Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
24,Agree,Neutral,Agree,Strongly Agree, Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
25,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree
26,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
27,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral
28,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree
